Course Name,Course Code,Course Description,Distribution Requirements,Breadth Requirements,Prerequisites,Corequisites,Hours
Phenomenology,PHL320H1,"Phenomenology is a method used in the analysis of human awareness and subjectivity. It has been applied in the social sciences, in the humanities, and in philosophy. Texts studied are from Husserl and later practitioners, e.g., Heidegger, Sartre, Merleau-Ponty, Gurwitsch, and Ricoeur.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)","Prerequisite: PHL210Y1/ PHL217H1, 7.5 courses (in any field) with at least 1.5 in philosophy",N/A,Hours: 36L
Heidegger,PHL321H1,"Some work from the 1920s (either Being and Time or contemporary lectures) and selections from Heidegger's later work on poetry, technology, and history are studied. Heidegger's position within phenomenology and within the broader history of thought is charted.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)","Prerequisite: PHL217H1, 7.5 courses (in any field) with at least 1.5 in philosophy",N/A,Hours: 36L
Social and Cultural Theory,PHL323H1,"A study of philosophical approaches to understanding various aspects of contemporary culture and/or society. Topics may include theories of modernity, capitalism and consumerism, architecture and design, cultural pluralism, globalization, media and internet.",Distribution Requirements: Humanities,Breadth Requirements: Society and its Institutions (3),Prerequisite: 7.5 courses (in any field) with at least 1.5 in philosophy,N/A,Hours: 36L
Early Analytic Philosophy,PHL325H1,"An examination of some of the classic texts of early analytic philosophy, concentrating on the work of Frege, Russell, and Wittgenstein.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)","Prerequisite: PHL245H1/ MAT157Y1 and one of  PHL232H1/ PHL233H1/ PHL240H1, 7.5 courses (in any field) with at least 1.5 in philosophy",N/A,Hours: 36L
Ethics and Religion in Sanskrit Philosophy,PHL327H1,"This course covers topics in Sanskrit philosophy, with a special focus on ethics and/or philosophy of religion. Students will investigate specific primary texts (in translation) and will learn how to recognize and analyze the philosophical arguments they contain. Example texts and ideas include: theology and atheism in various Sanskrit schools (with selected readings from Dharmakīrti, Udayana, Rāmānuja etc.); the place of ethics in Sanskrit philosophy and beyond (with selected readings from Śāntideva, B.K. Matilal and epic and juridical texts).",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)",Prerequisite: 7.5 credits with 1.5 credits in PHL,N/A,Hours: 36L
Metaphysics and Epistemology in Sanskrit Philosophy,PHL328H1,"This course covers topics in Sanskrit philosophy, with a special focus on metaphysics and epistemology (and related issues in philosophy of language and logic). Students will investigate specific primary texts (in translation) and will learn how to recognize and analyze the philosophical arguments they contain. Example texts and ideas include: the Upaniṣads, the Mahābhārata, the Buddhist dialogues, the Nyāya- and Vaiśeṣika-sūtra, the works of Dignāga, and others.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)",Prerequisite: 7.5 credits (in any field) with at least 1.5 credits in Philosophy,N/A,Hours: 36L
Topics in 20th Century Continental Philosophy,PHL329H1,"Selected topics and themes in continental philosophy of the 20th century, drawing on such approaches as hermeneutics, phenomenology, critical theory, structuralism, deconstruction, feminism, psychoanalysis, and post-colonial theory. Authors and texts will vary, but may include such authors as: Adorno, Arendt, Benjamin, Bloch, Deleuze, Derrida, Fanon, Foucault, Freud, Gadamer, Habermas, Heidegger, Irigaray, Kristeva, Lacan, Levi-Strauss, Levinas, Merleau-Ponty.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)","Prerequisite: 8.0 credits, including  PHL217H1 and an additional 1.5 PHL credits",N/A,Hours: 36L
Contemporary Continental Philosophy,PHL330H1,"A discussion of selected problems and debates in recent Continental philosophy. Authors and texts will vary, but may include such authors as: Giorgio Agamben, Alain Badiou, Étienne Balibar, Judith Butler, Jacques Derrida, Catherine Malabou, Achille Mbembe, Quentin Meillassoux, Jean-Luc Nancy, Jacques Rancière, Gayatri Spivak, Slavoj Žižek, Sylvia Wynter.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)","Prerequisite: 8.0 credits, including  PHL217H1 and an additional 1.5 PHL credits",N/A,Hours: 36L
Metaphysics,PHL331H1,"Historical and systematic approaches to topics in metaphysics, such as the nature of reality, substance and existence, necessity and possibility, causality, universals and particulars.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)","Prerequisite: 7.5 credits with at least 1.5 PHL credits, including ( PHL245H1/ MAT157Y1), ( PHL232H1/ PHL233H1/ PHL240H1)",N/A,Hours: 36L
Epistemology,PHL332H1,"Historical and systematic approaches to topics in the theory of knowledge, such as truth, belief, justification, perception, a priori knowledge, certitude, skepticism, other minds.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)","Prerequisite: PHL232H1/ PHL233H1, 7.5 courses (in any field) with at least 1.5 in philosophy",N/A,Hours: 36L
Puzzles and Paradoxes,PHL333H1,"Time travel, truth, infinity, rational decision making: each of these topics gives rise to philosophical puzzles and paradoxes. In this class we'll consider a variety of such paradoxes. Using logic and other philosophical tools, we'll show how these paradoxes can lead to deep and important philosophical conclusions.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)","Prerequisite: 7.5 credits, with at least 1.5 credits in philosophy,  PHL245H1/​ MAT157Y1",N/A,Hours: 36L
Mind and Language in Chinese Thought,PHL334H1,"Issues in the philosophy of mind and language played a crucial role in the philosophical discourse of classical China. This course will guide students in reconstructing this role and exploring its philosophical significance by interpreting and critically evaluating selected early Chinese philosophical texts that treat mind, language, and interrelated aspects of psychology. Topics to be discussed include the nature and functions of names and speech; the role of “correcting names”; semantic theory and argumentation; perception and knowledge; the role of language in knowledge and action; and the ontological grounds of linguistic distinctions. Texts to be discussed include the Analects, Guǎnzǐ, Mòzǐ, Mèngzǐ, Dàodéjīng, Xúnzǐ, Zhuāngzǐ, and Annals of Mr. Lǚ.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)","Prerequisite: 7.5 credits, with at least 1.5 PHL credits including  PHL237H1",N/A,N/A
Issues in Philosophy of Religion,PHL335H1,"Some specific problem(s) in the philosophy of religion, such as the relationship of religious faith and religious belief, the ontological argument for the existence of God, theories about divine transcendence, the philosophical presuppositions of religious doctrines, the modern critique of religion.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)",Prerequisite: 7.5 courses (in any field) with at least 1.5 in philosophy,N/A,Hours: 36L
Islamic Philosophy,PHL336H1,"An introduction to the major thinkers in classical Islamic philosophy, with emphasis placed on developing a properly philosophical understanding of the issues and arguments. Topics include the existence of God; creation and causality; human nature and knowledge; the nature of ethical obligations; and the constitution of the ideal political state.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)","Prerequisite: PHL200Y1, 7.5 courses (in any field) with at least 1.5 in philosophy",N/A,Hours: 36L
Classical Chinese Ethics,PHL337H1,"This course explores and critiques personal and social ethical ideals as presented in early Chinese Confucian, Mohist, and Daoist writings and considers their relevance to issues in contemporary ethics. Major texts discussed include the Analects, Mèngzǐ, Xúnzǐ, Mòzǐ, Dàodéjīng, and Zhuāngzǐ. Central questions examined include: What is the way (dào)? What standards can guide us in following the way? What grounds can we have for confidence that these are the correct standards? What kind of person should we strive to be? What is virtue (dé)? What values take priority in a life of virtue? How does the person of virtue act?",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)","Prerequisite: 7.5 credits, with at least 1.5 PHL credits including  PHL237H1",N/A,Hours: 36L
